Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","1818400","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2023","2023","t","1717290","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2019","2019","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2020","2020","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2021","2021","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2022","2022","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2023","2023","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5114","Stocks","02196","Bees","2024","2024","No","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22241.01","Butter of cow milk","2019","2019","t","11774.91","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22241.01","Butter of cow milk","2020","2020","t","11933.41","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22241.01","Butter of cow milk","2021","2021","t","11857.48","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22241.01","Butter of cow milk","2022","2022","t","11910.91","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22241.01","Butter of cow milk","2023","2023","t","11939.26","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22230.04","Buttermilk, dry","2019","2019","t","2209.32","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22230.04","Buttermilk, dry","2020","2020","t","2353.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22230.04","Buttermilk, dry","2021","2021","t","2268.8","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","2379.17","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22230.04","Buttermilk, dry","2023","2023","t","2048.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2019","2019","An","280346","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2020","2020","An","280703","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2021","2021","An","279468","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2022","2022","An","279355","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2023","2023","An","279246","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02121.01","Camels","2024","2024","An","279135","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2019","2019","ha","26811","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2019","2019","kg/ha","8851.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2019","2019","t","237317.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2020","2020","ha","26787","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2020","2020","kg/ha","8865.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2020","2020","t","237485.15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2021","2021","ha","26794","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2021","2021","kg/ha","8880.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2021","2021","t","237938.99","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2022","2022","ha","26663","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2022","2022","kg/ha","8881.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2022","2022","t","236799","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2023","2023","ha","26673","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2023","2023","kg/ha","8892.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2023","2023","t","237193.25","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01251","Carrots and turnips","2024","2024","ha","26682","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01251","Carrots and turnips","2024","2024","kg/ha","8904.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01251","Carrots and turnips","2024","2024","t","237587.51","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2019","2019","ha","140000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2019","2019","kg/ha","725","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2019","2019","t","101500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2020","2020","ha","167570","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2020","2020","kg/ha","548.5","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2020","2020","t","91914.82","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2021","2021","ha","170000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2021","2021","kg/ha","529.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2021","2021","t","90000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2022","2022","ha","170000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2022","2022","kg/ha","529.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2022","2022","t","90000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2023","2023","ha","172004","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2023","2023","kg/ha","514.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2023","2023","t","88475.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01372","Cashew nuts, in shell","2024","2024","ha","170224","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01372","Cashew nuts, in shell","2024","2024","kg/ha","475.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01372","Cashew nuts, in shell","2024","2024","t","80943.66","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2019","2019","ha","9776650","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2019","2019","kg/ha","5827.1","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2019","2019","t","56969160","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2020","2020","ha","9614230","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2020","2020","kg/ha","5779.5","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2020","2020","t","55565610","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2021","2021","ha","9979330","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2021","2021","kg/ha","5835.8","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2021","2021","t","58237500","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2022","2022","ha","10043720","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","6109.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2022","2022","t","61359000.56","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2023","2023","ha","10127666","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","6196.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2023","2023","t","62751586.43","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2024","2024","ha","10722539","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2024","2024","kg/ha","5840.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2024","2024","t","62624946.19","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2019","2019","An","20402276","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2020","2020","An","20585153","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2021","2021","An","20764244","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2022","2022","An","20862418","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2023","2023","An","20896548","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2024","2024","An","20943448","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2019","2019","t","9317.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2019","2019","An","3194709","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2020","2020","t","9297.94","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2020","2020","An","3209709","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","9283.14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2021","2021","An","3248445","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","9197.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2022","2022","An","3274666","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2023","2023","t","9125.84","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2023","2023","An","3290904","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","21512","Cattle fat, unrendered","2024","2024","t","9058.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2024","2024","An","3309195","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22251.02","Cheese from skimmed cow milk","2019","2019","t","9426.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22251.02","Cheese from skimmed cow milk","2020","2020","t","9557.16","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22251.02","Cheese from skimmed cow milk","2021","2021","t","9500.2","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22251.02","Cheese from skimmed cow milk","2022","2022","t","9531.15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","22251.02","Cheese from skimmed cow milk","2023","2023","t","9559.44","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2019","2019","1000 An","205697","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2020","2020","1000 An","223704","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2021","2021","1000 An","240481","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2022","2022","1000 An","250620","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2023","2023","1000 An","234795","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5112","Stocks","02151","Chickens","2024","2024","1000 An","241700","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","ha","36447","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","kg/ha","1731.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","t","63123.15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","ha","36459","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","kg/ha","1734.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","t","63249.75","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","ha","36890","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","kg/ha","1742.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","t","64270.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","ha","36926","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","kg/ha","1749","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","t","64582.88","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","ha","37007","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","kg/ha","1754.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","t","64933.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","ha","37087","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","kg/ha","1760.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","t","65284.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","ha","102728","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","kg/ha","7452.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","t","765622.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","ha","103541","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","kg/ha","7422.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","t","768532.6","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","ha","104227","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","kg/ha","7421.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","t","773531.11","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","ha","104208","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","kg/ha","7416.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","t","772840.88","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","ha","104845","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","kg/ha","7392","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","t","775012.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","ha","105485","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","kg/ha","7367.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","777184.69","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2019","2019","ha","885571","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2019","2019","kg/ha","282.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2019","2019","t","250000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2020","2020","ha","1188468","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2020","2020","kg/ha","300.9","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2020","2020","t","357608.24","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2021","2021","ha","1007284","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2021","2021","kg/ha","278","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2021","2021","t","280000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2022","2022","ha","1099270","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2022","2022","kg/ha","272.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2022","2022","t","300000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2023","2023","ha","1284956","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2023","2023","kg/ha","272.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2023","2023","t","350000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01640","Cocoa beans","2024","2024","ha","1300407","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01640","Cocoa beans","2024","2024","kg/ha","269.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01640","Cocoa beans","2024","2024","t","350000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","2166","Coconut oil","2019","2019","t","10766.13","I","Value imputed by a receiving agency",""
