state,year,crop,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,humidity_pct,solar_radiation,nitrogen_n,phosphorus_p,potassium_k,soil_ph,fertilizer_kg_ha,pesticide_kg_ha,area_harvested_ha,yield_kg_ha,source
Ekiti,2019,"Cassava, fresh",2325.44,24.63,21.43,28.64,85.23,16.92,45.3,27.6,22.7,6.28,65.1,5.31,252746.12,7062.23,Nigeria_Synthesized_FAO_NASA
Enugu,2019,"Cassava, fresh",1601.35,25.72,22.28,29.72,82.47,17.04,49.1,31.5,23.6,5.94,63.2,3.05,224486.51,7759.36,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2019,"Cassava, fresh",1302.2,26.23,21.5,31.88,67.06,18.58,51.3,32.2,26.5,6.01,111.4,5.51,313083.27,6602.0,Nigeria_Synthesized_FAO_NASA
Gombe,2019,"Cassava, fresh",1233.79,26.8,21.28,33.1,55.76,20.71,48.2,27.7,23.6,6.15,105.4,7.59,327030.21,6248.17,Nigeria_Synthesized_FAO_NASA
Imo,2019,"Cassava, fresh",2559.56,26.01,23.05,29.59,86.4,16.27,49.2,28.3,23.1,6.1,115.4,4.1,265937.66,6770.4,Nigeria_Synthesized_FAO_NASA
Jigawa,2019,"Cassava, fresh",485.81,27.58,20.91,35.54,41.33,20.87,48.6,32.8,27.3,6.05,79.8,3.96,296420.46,4020.05,Nigeria_Synthesized_FAO_NASA
Kaduna,2019,"Cassava, fresh",1623.16,24.48,19.33,30.82,63.85,19.89,51.1,30.0,22.8,6.06,112.7,3.56,190811.72,6761.48,Nigeria_Synthesized_FAO_NASA
Kano,2019,"Cassava, fresh",517.4,27.07,20.35,35.28,43.11,21.48,54.9,28.5,25.9,6.36,59.0,6.73,262561.62,3839.14,Nigeria_Synthesized_FAO_NASA
Katsina,2019,"Cassava, fresh",702.35,26.88,20.7,33.83,42.66,21.26,51.3,30.2,23.0,6.41,65.7,3.21,285209.59,3978.31,Nigeria_Synthesized_FAO_NASA
Kebbi,2019,"Cassava, fresh",975.0,27.47,21.57,34.45,51.71,21.15,51.8,27.1,25.1,6.03,91.6,3.13,278643.98,4324.79,Nigeria_Synthesized_FAO_NASA
Kogi,2019,"Cassava, fresh",1251.26,27.25,22.95,32.23,71.52,17.31,54.4,27.8,24.2,5.96,114.0,7.7,246276.77,6214.67,Nigeria_Synthesized_FAO_NASA
Kwara,2019,"Cassava, fresh",1645.89,25.35,21.41,30.21,78.48,18.09,53.2,30.3,25.1,6.04,47.4,7.83,289597.7,6921.39,Nigeria_Synthesized_FAO_NASA
Lagos,2019,"Cassava, fresh",1952.69,26.78,25.09,28.91,85.85,16.26,48.4,29.1,26.1,6.45,111.0,7.07,285335.72,8007.35,Nigeria_Synthesized_FAO_NASA
Nasarawa,2019,"Cassava, fresh",938.12,27.98,23.38,33.58,62.16,18.38,46.6,32.4,25.5,5.9,48.1,6.31,198303.22,4521.98,Nigeria_Synthesized_FAO_NASA
Niger,2019,"Cassava, fresh",1226.48,26.93,22.01,32.45,68.58,18.47,50.5,31.2,25.8,6.03,97.0,3.54,210458.2,5472.54,Nigeria_Synthesized_FAO_NASA
Ogun,2019,"Cassava, fresh",1932.32,26.05,23.09,29.76,86.83,16.7,51.5,32.1,25.8,6.24,47.5,4.39,303312.6,7153.75,Nigeria_Synthesized_FAO_NASA
Ondo,2019,"Cassava, fresh",2325.44,24.63,21.43,28.64,85.23,16.92,54.7,29.4,27.0,6.28,103.6,5.27,223645.83,6772.28,Nigeria_Synthesized_FAO_NASA
Osun,2019,"Cassava, fresh",2184.61,24.92,21.46,29.14,83.53,16.53,47.0,31.3,23.9,5.91,91.6,3.15,263047.54,7189.93,Nigeria_Synthesized_FAO_NASA
Oyo,2019,"Cassava, fresh",2257.17,25.43,22.21,29.34,86.49,16.7,54.1,29.2,22.6,6.47,74.3,8.28,336199.74,7727.14,Nigeria_Synthesized_FAO_NASA
Plateau,2019,"Cassava, fresh",1166.1,23.54,18.25,30.23,58.25,18.6,47.9,29.3,26.8,6.09,53.6,5.62,320200.0,5451.16,Nigeria_Synthesized_FAO_NASA
Rivers,2019,"Cassava, fresh",3286.85,26.06,23.24,29.71,87.68,15.01,50.7,27.6,25.6,6.5,51.2,5.37,295312.4,7875.34,Nigeria_Synthesized_FAO_NASA
Sokoto,2019,"Cassava, fresh",1088.13,27.34,21.33,34.05,48.97,21.64,52.0,31.2,24.3,6.07,104.7,7.27,302405.31,5545.76,Nigeria_Synthesized_FAO_NASA
Taraba,2019,"Cassava, fresh",982.97,27.29,22.23,33.11,61.02,19.1,50.1,30.0,26.5,6.29,96.2,7.17,329749.05,5009.59,Nigeria_Synthesized_FAO_NASA
Yobe,2019,"Cassava, fresh",776.03,27.41,21.34,34.46,46.98,21.13,48.8,27.6,25.4,5.91,77.2,5.53,238549.49,4280.2,Nigeria_Synthesized_FAO_NASA
Zamfara,2019,"Cassava, fresh",738.05,26.25,20.33,33.26,49.44,21.28,45.3,27.2,26.6,6.11,50.2,5.39,278634.51,3851.02,Nigeria_Synthesized_FAO_NASA
Abia,2020,"Cassava, fresh",2029.78,25.76,22.57,29.63,85.2,16.76,51.2,27.5,22.8,6.22,83.3,6.14,215538.72,7546.35,Nigeria_Synthesized_FAO_NASA
Adamawa,2020,"Cassava, fresh",982.6,27.15,21.49,33.42,57.83,20.76,50.2,28.9,26.5,6.06,75.1,2.51,334032.45,4881.58,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2020,"Cassava, fresh",2982.8,26.24,23.63,29.59,86.16,16.76,53.4,31.2,24.5,6.0,52.5,3.63,331973.92,6784.46,Nigeria_Synthesized_FAO_NASA
Anambra,2020,"Cassava, fresh",2228.5,25.76,22.46,29.53,84.05,17.58,51.6,28.7,27.3,6.35,84.3,5.98,293300.94,7290.83,Nigeria_Synthesized_FAO_NASA
Bauchi,2020,"Cassava, fresh",2013.76,24.95,19.31,31.5,59.51,20.92,48.6,31.5,22.6,5.96,43.7,2.26,220513.69,6960.57,Nigeria_Synthesized_FAO_NASA
Bayelsa,2020,"Cassava, fresh",3495.17,26.08,23.46,29.46,87.47,15.56,49.7,27.6,25.0,6.18,53.9,4.82,291595.62,7721.5,Nigeria_Synthesized_FAO_NASA
Benue,2020,"Cassava, fresh",1209.6,26.41,22.11,31.55,72.34,18.7,51.4,27.3,24.4,6.28,80.3,7.57,277905.83,5629.69,Nigeria_Synthesized_FAO_NASA
Borno,2020,"Cassava, fresh",545.45,28.06,21.39,35.6,42.48,21.41,45.7,30.9,22.6,6.25,115.2,5.74,207293.36,4016.45,Nigeria_Synthesized_FAO_NASA
Cross River,2020,"Cassava, fresh",2982.8,26.24,23.63,29.59,86.16,15.31,49.6,30.3,27.2,6.13,116.9,7.88,282183.61,7210.68,Nigeria_Synthesized_FAO_NASA
Delta,2020,"Cassava, fresh",2228.5,25.76,22.46,29.53,84.05,16.94,46.0,27.1,23.0,6.31,45.7,4.07,192704.71,6881.76,Nigeria_Synthesized_FAO_NASA
Ebonyi,2020,"Cassava, fresh",1251.59,26.36,22.44,31.15,77.86,18.1,53.1,28.7,23.1,6.32,90.3,7.7,185519.08,6238.47,Nigeria_Synthesized_FAO_NASA
Edo,2020,"Cassava, fresh",2111.49,25.46,22.36,29.3,87.0,16.43,47.8,28.1,26.3,6.39,119.2,4.68,307158.68,7435.77,Nigeria_Synthesized_FAO_NASA
Ekiti,2020,"Cassava, fresh",1688.06,24.44,20.97,28.85,83.66,17.35,48.4,32.6,26.8,6.16,100.1,6.9,302938.61,6794.29,Nigeria_Synthesized_FAO_NASA
Enugu,2020,"Cassava, fresh",1630.95,25.64,21.91,30.0,80.61,17.58,50.1,32.0,24.1,6.45,71.1,2.07,322604.64,6749.17,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2020,"Cassava, fresh",1389.91,25.33,20.59,31.05,70.06,19.24,48.2,32.7,27.3,6.25,90.5,4.91,196123.02,6771.21,Nigeria_Synthesized_FAO_NASA
Gombe,2020,"Cassava, fresh",1610.11,25.46,19.91,31.96,61.65,21.05,51.7,31.5,26.5,6.38,47.3,5.21,233131.75,6929.13,Nigeria_Synthesized_FAO_NASA
Imo,2020,"Cassava, fresh",2537.08,25.96,22.78,29.79,85.46,16.76,49.4,32.3,24.3,5.96,51.4,6.95,267565.93,6763.65,Nigeria_Synthesized_FAO_NASA
Jigawa,2020,"Cassava, fresh",1348.11,26.04,19.53,33.9,50.64,21.0,45.8,31.2,22.9,6.4,96.5,2.53,197656.51,6425.12,Nigeria_Synthesized_FAO_NASA
Kaduna,2020,"Cassava, fresh",3398.52,23.14,18.43,29.08,70.9,20.28,48.7,29.2,26.6,6.48,118.9,6.9,335714.29,6202.02,Nigeria_Synthesized_FAO_NASA
Kano,2020,"Cassava, fresh",1291.71,25.59,19.15,33.6,52.35,21.5,52.8,30.4,24.6,6.45,48.9,5.2,194909.14,5840.08,Nigeria_Synthesized_FAO_NASA
Katsina,2020,"Cassava, fresh",1539.75,25.3,19.52,31.74,53.57,21.05,45.6,27.7,23.1,6.29,99.7,5.79,254958.05,6487.39,Nigeria_Synthesized_FAO_NASA
Kebbi,2020,"Cassava, fresh",1131.67,26.83,21.14,33.82,56.95,20.69,47.9,32.2,23.6,6.49,41.0,8.3,240335.57,5823.6,Nigeria_Synthesized_FAO_NASA
Kogi,2020,"Cassava, fresh",1391.1,26.62,22.18,31.74,72.68,17.84,50.3,33.0,22.9,6.23,117.5,5.4,320825.78,6139.37,Nigeria_Synthesized_FAO_NASA
Kwara,2020,"Cassava, fresh",1204.71,25.26,20.98,30.59,76.31,18.29,49.5,30.8,25.4,6.45,43.6,3.83,290362.53,5613.17,Nigeria_Synthesized_FAO_NASA
Lagos,2020,"Cassava, fresh",1510.91,26.41,24.55,28.78,85.34,16.91,49.6,30.7,23.9,6.01,77.1,4.3,320688.69,7663.25,Nigeria_Synthesized_FAO_NASA
Nasarawa,2020,"Cassava, fresh",1078.68,27.24,22.6,32.97,63.62,19.25,54.7,32.9,26.0,6.22,64.8,7.29,194010.17,5226.82,Nigeria_Synthesized_FAO_NASA
Niger,2020,"Cassava, fresh",1309.13,26.28,21.2,32.07,70.38,18.94,54.1,31.9,27.2,6.34,89.1,4.72,207243.86,6351.24,Nigeria_Synthesized_FAO_NASA
Ogun,2020,"Cassava, fresh",1525.8,25.74,22.52,29.83,85.71,16.87,45.5,27.2,24.4,6.39,119.0,2.98,316915.77,7560.42,Nigeria_Synthesized_FAO_NASA
Ondo,2020,"Cassava, fresh",1688.06,24.44,20.97,28.85,83.66,17.35,54.7,32.1,26.7,6.18,73.2,3.78,241274.17,7040.79,Nigeria_Synthesized_FAO_NASA
Osun,2020,"Cassava, fresh",1523.34,24.79,21.01,29.45,81.59,16.86,53.1,33.0,27.5,6.23,101.5,8.14,316706.62,6364.12,Nigeria_Synthesized_FAO_NASA
Oyo,2020,"Cassava, fresh",1568.36,25.24,21.73,29.6,84.71,16.87,49.5,27.8,27.3,6.27,58.3,6.37,220454.0,7514.78,Nigeria_Synthesized_FAO_NASA
Plateau,2020,"Cassava, fresh",3385.52,22.35,17.41,28.56,63.84,19.39,46.1,31.0,25.1,6.37,81.6,7.54,237730.71,6587.43,Nigeria_Synthesized_FAO_NASA
Rivers,2020,"Cassava, fresh",3361.46,26.04,23.03,29.87,87.03,15.21,53.8,29.4,23.2,5.91,100.4,6.03,269344.68,7357.57,Nigeria_Synthesized_FAO_NASA
Sokoto,2020,"Cassava, fresh",1145.58,26.35,20.64,33.04,56.06,21.49,46.4,27.1,24.3,6.26,71.4,4.84,215093.32,5586.46,Nigeria_Synthesized_FAO_NASA
Taraba,2020,"Cassava, fresh",1075.73,26.37,21.19,32.39,64.01,19.69,50.1,31.7,24.5,6.28,109.0,8.17,236186.11,5411.76,Nigeria_Synthesized_FAO_NASA
Yobe,2020,"Cassava, fresh",792.26,26.9,20.63,34.19,48.36,21.55,49.9,28.5,24.8,6.5,79.4,4.14,326351.81,3805.75,Nigeria_Synthesized_FAO_NASA
Zamfara,2020,"Cassava, fresh",1146.34,25.26,19.6,32.14,55.83,20.88,45.8,27.8,23.1,5.98,51.1,6.17,219331.08,5344.55,Nigeria_Synthesized_FAO_NASA
Abia,2021,"Cassava, fresh",1877.25,25.78,22.8,29.53,86.39,16.48,54.0,29.8,25.8,6.0,55.4,2.27,244736.43,6936.86,Nigeria_Synthesized_FAO_NASA
Adamawa,2021,"Cassava, fresh",945.3,27.6,21.95,33.88,56.24,20.8,46.8,27.5,23.1,6.18,56.5,4.37,233881.57,4275.27,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2021,"Cassava, fresh",2456.61,26.21,23.74,29.42,87.15,16.48,45.4,31.8,25.6,5.94,109.9,7.99,300522.64,7410.79,Nigeria_Synthesized_FAO_NASA
Anambra,2021,"Cassava, fresh",2208.72,25.78,22.8,29.34,86.04,17.38,53.1,31.5,23.4,6.02,69.6,5.15,233604.41,6795.59,Nigeria_Synthesized_FAO_NASA
Bauchi,2021,"Cassava, fresh",3305.27,25.04,19.49,31.42,60.49,21.27,49.6,31.5,22.7,6.05,97.1,7.82,248498.31,7275.55,Nigeria_Synthesized_FAO_NASA
Bayelsa,2021,"Cassava, fresh",3490.5,26.11,23.68,29.29,88.5,15.38,46.1,29.7,25.2,6.04,61.5,4.45,274908.45,7397.78,Nigeria_Synthesized_FAO_NASA
Benue,2021,"Cassava, fresh",1524.55,26.51,22.31,31.46,73.01,18.37,47.1,29.0,23.1,6.44,87.5,6.41,240919.23,6744.2,Nigeria_Synthesized_FAO_NASA
Borno,2021,"Cassava, fresh",444.23,28.5,21.62,36.32,39.39,21.77,45.9,30.2,25.4,6.35,74.5,2.83,269459.53,4081.73,Nigeria_Synthesized_FAO_NASA
Cross River,2021,"Cassava, fresh",2456.61,26.21,23.74,29.42,87.15,15.69,51.5,30.4,24.3,6.5,88.5,3.54,247554.64,7150.5,Nigeria_Synthesized_FAO_NASA
Delta,2021,"Cassava, fresh",2208.72,25.78,22.8,29.34,86.04,16.78,47.5,28.0,23.4,6.07,53.9,7.83,213534.87,6843.19,Nigeria_Synthesized_FAO_NASA
Ebonyi,2021,"Cassava, fresh",780.95,26.73,22.83,31.71,77.1,17.93,49.1,32.9,23.1,6.14,117.6,7.63,273678.23,3779.83,Nigeria_Synthesized_FAO_NASA
Edo,2021,"Cassava, fresh",2357.05,25.6,22.85,29.07,89.16,16.34,46.7,31.0,27.1,6.24,85.7,3.82,230533.77,7636.62,Nigeria_Synthesized_FAO_NASA
Ekiti,2021,"Cassava, fresh",2803.84,24.66,21.47,28.82,85.48,17.19,48.2,29.6,25.0,6.04,49.2,5.97,219066.86,7358.12,Nigeria_Synthesized_FAO_NASA
Enugu,2021,"Cassava, fresh",1288.82,25.72,22.24,30.06,82.26,17.38,46.5,29.9,25.2,5.92,66.9,2.87,282858.16,5823.24,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2021,"Cassava, fresh",1369.92,25.61,20.82,31.36,68.57,19.4,48.2,31.9,23.8,6.31,100.8,5.87,349000.4,5938.33,Nigeria_Synthesized_FAO_NASA
Gombe,2021,"Cassava, fresh",2221.85,25.9,20.36,32.35,60.63,21.29,48.5,32.6,26.7,6.49,49.9,6.75,255445.1,7302.82,Nigeria_Synthesized_FAO_NASA
Imo,2021,"Cassava, fresh",2610.4,25.97,23.05,29.59,86.97,16.48,45.7,31.4,25.4,6.41,51.2,7.17,218126.53,7867.75,Nigeria_Synthesized_FAO_NASA
Jigawa,2021,"Cassava, fresh",1693.73,25.93,19.29,33.69,51.02,21.81,46.6,31.9,25.8,6.21,68.7,7.7,215282.08,6992.46,Nigeria_Synthesized_FAO_NASA
Kaduna,2021,"Cassava, fresh",6360.7,23.35,18.52,29.42,70.17,20.72,49.4,29.3,24.8,6.08,99.8,5.27,320945.95,6639.55,Nigeria_Synthesized_FAO_NASA
Kano,2021,"Cassava, fresh",1845.71,25.31,18.75,33.21,53.87,22.26,48.8,30.3,27.0,6.28,49.4,8.11,334373.57,6893.33,Nigeria_Synthesized_FAO_NASA
Katsina,2021,"Cassava, fresh",1784.49,25.63,19.61,32.47,49.51,21.82,46.4,31.8,25.6,6.22,111.5,7.13,242994.9,7423.38,Nigeria_Synthesized_FAO_NASA
Kebbi,2021,"Cassava, fresh",925.26,27.38,21.34,34.71,52.95,21.44,47.5,31.5,22.7,6.24,101.0,7.7,239243.17,4200.48,Nigeria_Synthesized_FAO_NASA
Kogi,2021,"Cassava, fresh",2024.23,26.62,22.46,31.48,74.62,17.63,46.1,32.1,23.1,6.14,103.8,2.97,321699.72,7310.55,Nigeria_Synthesized_FAO_NASA
Kwara,2021,"Cassava, fresh",1764.69,25.68,21.46,30.92,74.97,18.45,52.2,30.8,26.0,6.23,60.1,4.25,305678.08,6970.48,Nigeria_Synthesized_FAO_NASA
Lagos,2021,"Cassava, fresh",1713.6,26.77,25.1,28.92,85.31,16.64,50.8,29.4,24.8,6.48,52.3,5.81,335809.94,7150.37,Nigeria_Synthesized_FAO_NASA
Nasarawa,2021,"Cassava, fresh",1517.79,27.2,22.63,32.72,64.83,19.03,45.2,32.2,27.2,6.24,95.7,8.0,287747.92,7343.89,Nigeria_Synthesized_FAO_NASA
Niger,2021,"Cassava, fresh",1567.28,26.65,21.5,32.49,68.64,19.19,50.8,30.6,24.6,6.35,114.7,8.02,213483.07,7755.8,Nigeria_Synthesized_FAO_NASA
Ogun,2021,"Cassava, fresh",1752.89,26.03,23.06,29.86,86.44,17.14,54.8,32.0,23.1,6.46,109.6,5.37,207123.11,7307.83,Nigeria_Synthesized_FAO_NASA
Ondo,2021,"Cassava, fresh",2803.84,24.66,21.47,28.82,85.48,17.19,45.5,29.0,26.5,5.89,66.7,4.59,253367.53,7156.98,Nigeria_Synthesized_FAO_NASA
Osun,2021,"Cassava, fresh",2545.61,25.1,21.46,29.67,82.03,16.81,48.5,29.1,26.2,6.17,58.0,4.94,337655.59,7196.91,Nigeria_Synthesized_FAO_NASA
Oyo,2021,"Cassava, fresh",2405.57,25.45,22.18,29.58,85.99,17.14,50.0,29.5,27.1,6.11,86.4,6.11,217342.31,6818.09,Nigeria_Synthesized_FAO_NASA
Plateau,2021,"Cassava, fresh",6143.64,22.42,17.47,28.63,64.07,19.45,46.8,32.8,23.2,6.15,46.8,8.48,296176.38,6034.33,Nigeria_Synthesized_FAO_NASA
Rivers,2021,"Cassava, fresh",3286.06,26.06,23.27,29.7,88.29,15.22,45.7,31.5,23.5,6.45,56.4,3.24,285147.49,7375.19,Nigeria_Synthesized_FAO_NASA
Sokoto,2021,"Cassava, fresh",1248.4,26.82,20.76,33.8,52.26,22.27,50.6,27.4,26.4,6.17,82.0,4.86,265191.3,5590.63,Nigeria_Synthesized_FAO_NASA
Taraba,2021,"Cassava, fresh",995.65,26.9,21.62,32.99,61.7,19.68,46.6,28.1,26.8,6.48,69.9,3.76,279363.04,4750.84,Nigeria_Synthesized_FAO_NASA
Yobe,2021,"Cassava, fresh",1602.2,26.8,20.56,34.02,49.32,22.04,45.3,27.9,26.1,6.3,42.2,3.44,254942.35,7714.77,Nigeria_Synthesized_FAO_NASA
Zamfara,2021,"Cassava, fresh",1543.33,25.19,19.44,32.19,55.73,21.79,45.2,27.6,26.5,6.0,92.2,3.55,297528.5,6792.51,Nigeria_Synthesized_FAO_NASA
Abia,2022,"Cassava, fresh",1579.69,25.57,22.28,29.59,84.63,16.48,52.2,32.1,26.7,6.14,93.4,3.33,229622.06,7114.09,Nigeria_Synthesized_FAO_NASA
Adamawa,2022,"Cassava, fresh",1250.17,26.34,20.98,32.39,61.0,20.39,45.1,27.5,23.5,5.91,54.5,5.79,336003.56,6032.12,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2022,"Cassava, fresh",3367.59,26.03,23.38,29.41,86.43,16.48,53.2,29.1,23.8,6.13,87.2,3.74,335406.78,7613.91,Nigeria_Synthesized_FAO_NASA
Anambra,2022,"Cassava, fresh",1520.42,25.52,22.18,29.44,83.61,17.09,50.5,29.6,24.0,6.48,101.1,2.91,256697.66,7543.71,Nigeria_Synthesized_FAO_NASA
Bauchi,2022,"Cassava, fresh",2192.25,23.61,18.14,29.92,65.09,20.54,53.9,31.8,24.6,5.9,61.5,5.52,269404.8,7554.86,Nigeria_Synthesized_FAO_NASA
Bayelsa,2022,"Cassava, fresh",2262.15,25.86,23.18,29.29,87.25,15.34,46.4,32.0,27.4,6.22,53.7,3.77,232018.78,7834.16,Nigeria_Synthesized_FAO_NASA
Benue,2022,"Cassava, fresh",1847.07,25.08,21.17,29.65,77.48,18.09,46.2,30.5,23.9,6.23,92.1,7.39,338929.21,6907.77,Nigeria_Synthesized_FAO_NASA
Borno,2022,"Cassava, fresh",476.63,27.77,21.18,35.35,41.4,21.11,46.4,32.4,26.9,6.26,88.0,6.32,191807.23,3981.42,Nigeria_Synthesized_FAO_NASA
Cross River,2022,"Cassava, fresh",3367.59,26.03,23.38,29.41,86.43,15.25,49.2,29.3,25.1,5.92,53.3,6.8,338947.64,7310.34,Nigeria_Synthesized_FAO_NASA
Delta,2022,"Cassava, fresh",1520.42,25.52,22.18,29.44,83.61,16.56,47.5,29.3,23.9,6.11,97.5,3.93,288252.39,6903.03,Nigeria_Synthesized_FAO_NASA
Ebonyi,2022,"Cassava, fresh",1089.98,26.56,22.33,31.89,73.62,17.56,51.6,32.6,26.2,6.02,42.5,3.7,267551.19,5534.02,Nigeria_Synthesized_FAO_NASA
Edo,2022,"Cassava, fresh",1751.31,25.24,22.22,29.04,87.11,16.2,50.0,30.6,24.2,6.37,48.5,2.49,198392.1,7637.06,Nigeria_Synthesized_FAO_NASA
Ekiti,2022,"Cassava, fresh",2113.63,24.07,20.77,28.17,85.26,17.06,51.9,29.6,23.7,6.4,104.0,6.52,270717.56,7508.34,Nigeria_Synthesized_FAO_NASA
Enugu,2022,"Cassava, fresh",1234.16,25.55,21.69,30.33,78.39,17.09,48.6,27.5,27.1,5.97,116.0,4.9,286147.86,5790.7,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2022,"Cassava, fresh",1760.93,24.61,19.96,30.21,72.48,18.75,53.7,31.4,26.5,6.3,95.4,7.52,278276.35,7001.1,Nigeria_Synthesized_FAO_NASA
Gombe,2022,"Cassava, fresh",2531.68,24.85,19.37,31.35,62.57,20.6,47.2,32.9,27.2,5.91,96.4,8.01,269729.52,7132.12,Nigeria_Synthesized_FAO_NASA
Imo,2022,"Cassava, fresh",1729.51,25.75,22.53,29.66,85.07,16.48,54.2,27.2,26.0,6.07,114.0,8.31,282518.21,7253.46,Nigeria_Synthesized_FAO_NASA
Jigawa,2022,"Cassava, fresh",764.89,25.49,18.93,33.6,50.77,20.59,53.6,32.1,24.1,6.4,43.0,5.88,267252.13,4372.93,Nigeria_Synthesized_FAO_NASA
Kaduna,2022,"Cassava, fresh",4954.11,22.45,17.78,28.41,73.02,19.63,45.8,31.2,24.2,6.34,45.2,4.05,209653.19,6561.63,Nigeria_Synthesized_FAO_NASA
Kano,2022,"Cassava, fresh",781.04,24.6,18.13,32.79,55.71,20.9,48.2,30.8,26.9,6.27,58.6,2.16,318802.3,3993.61,Nigeria_Synthesized_FAO_NASA
Katsina,2022,"Cassava, fresh",1325.45,24.72,18.93,31.41,53.18,20.62,53.7,30.2,27.2,6.39,119.8,4.28,193480.5,6658.56,Nigeria_Synthesized_FAO_NASA
Kebbi,2022,"Cassava, fresh",980.15,26.68,20.86,33.83,54.97,20.66,49.8,30.8,26.9,6.5,101.5,4.72,255479.27,5153.31,Nigeria_Synthesized_FAO_NASA
Kogi,2022,"Cassava, fresh",1437.67,25.42,21.41,29.88,78.17,17.55,47.4,27.7,24.3,6.07,63.7,3.52,310147.19,6884.52,Nigeria_Synthesized_FAO_NASA
Kwara,2022,"Cassava, fresh",1540.4,24.76,20.61,29.83,78.16,18.05,54.9,29.6,24.4,6.31,57.5,8.17,192927.47,6779.23,Nigeria_Synthesized_FAO_NASA
Lagos,2022,"Cassava, fresh",1637.38,26.36,24.55,28.59,85.07,16.58,49.2,32.3,27.2,6.18,89.1,3.09,204578.8,8146.35,Nigeria_Synthesized_FAO_NASA
Nasarawa,2022,"Cassava, fresh",1908.77,25.78,21.49,31.12,70.43,18.69,54.4,30.9,25.5,6.21,58.5,3.15,227748.96,8252.58,Nigeria_Synthesized_FAO_NASA
Niger,2022,"Cassava, fresh",1218.58,25.95,20.84,31.8,71.14,18.49,52.8,29.1,22.8,6.49,110.7,8.03,220381.74,5739.66,Nigeria_Synthesized_FAO_NASA
Ogun,2022,"Cassava, fresh",1698.93,25.61,22.45,29.56,86.01,16.65,49.0,31.5,26.0,5.99,105.3,3.46,218338.84,8213.44,Nigeria_Synthesized_FAO_NASA
Ondo,2022,"Cassava, fresh",2113.63,24.07,20.77,28.17,85.26,17.06,50.9,30.5,23.0,6.43,61.2,2.84,277473.96,6923.76,Nigeria_Synthesized_FAO_NASA
Osun,2022,"Cassava, fresh",2171.52,24.37,20.75,28.76,83.32,16.56,53.6,31.9,25.8,6.23,47.0,4.65,345664.37,7770.35,Nigeria_Synthesized_FAO_NASA
